"","ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(wks)","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","Drug","DrugDose","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","DrugMassConsumed","TestNumber"
"1",14866,"Oral methamphetamine","SUC0028","014821","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-13,"11/6/2022 0:00:00","Marina",14.14,28.8,83.3,72,79.3,69.3,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229364.25,"014821_2/13/2023","014821_2/13/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4,2.7,0.597014925373134,0.00138888888888889,1
"2",14884,"Oral methamphetamine","SUC0028","014821","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-15,"11/6/2022 0:00:00","Marina",14.42,28.7,79.3,69.3,74.8,63.9,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206677.36,"014821_2/15/2023","014821_2/15/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.5,5.4,0.454545454545455,0.00156794425087108,2
"3",14920,"Oral methamphetamine","SUC0028","014821","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-22,"11/6/2022 0:00:00","Marina",15.42,29.3,77.1,83,71.9,81.1,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189197.62,"014821_2/22/2023","014821_2/22/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.2,1.89999999999999,0.732394366197184,0.00354948805460751,4
"4",14938,"Oral methamphetamine","SUC0028","014821","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-24,"11/6/2022 0:00:00","Marina",15.71,29,71.9,81.1,66.8,79.1,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165617.94,"014821_2/24/2023","014821_2/24/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.10000000000001,2,0.71830985915493,0.00351724137931035,5
"5",14870,"Oral methamphetamine","SUC0028","014823","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-13,"11/6/2022 0:00:00","Marina",14.14,23.9,83.9,84.1,78.9,81.5,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276975.33,"014823_2/13/2023","014823_2/13/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5,2.60000000000001,0.657894736842105,0.00209205020920502,1
"6",14888,"Oral methamphetamine","SUC0028","014823","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-15,"11/6/2022 0:00:00","Marina",14.42,23.9,78.9,81.5,72.3,78.9,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238680.76,"014823_2/15/2023","014823_2/15/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.60000000000001,2.59999999999999,0.717391304347827,0.00276150627615063,2
"7",14924,"Oral methamphetamine","SUC0028","014823","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-22,"11/6/2022 0:00:00","Marina",15.42,24.2,75,84.4,68.6,82.7,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212603.29,"014823_2/22/2023","014823_2/22/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.39999999999999,1.7,0.790123456790123,0.0052892561983471,4
"8",14942,"Oral methamphetamine","SUC0028","014823","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-24,"11/6/2022 0:00:00","Marina",15.71,23.8,68.6,82.7,62.8,81,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181011.77,"014823_2/24/2023","014823_2/24/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.8,1.7,0.773333333333333,0.00487394957983194,5
"9",14868,"Oral methamphetamine","SUC0028","014825","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-13,"11/6/2022 0:00:00","Marina",14.14,28.3,87.5,84.6,83.9,82.6,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259408.13,"014825_2/13/2023","014825_2/13/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",3.59999999999999,2,0.642857142857142,0.00127208480565371,1
"10",14886,"Oral methamphetamine","SUC0028","014825","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-15,"11/6/2022 0:00:00","Marina",14.42,26.9,83.9,82.6,81,76,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252635.68,"014825_2/15/2023","014825_2/15/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",2.90000000000001,6.60000000000001,0.305263157894737,0.00107806691449814,2
"11",14922,"Oral methamphetamine","SUC0028","014825","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-22,"11/6/2022 0:00:00","Marina",15.42,27.2,77.3,84.2,71.3,82.9,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202628.31,"014825_2/22/2023","014825_2/22/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6,1.3,0.821917808219178,0.00441176470588235,4
