ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age(wks)	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	Drug	DrugDose	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg/kg formula check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	DrugMassConsumed	TestNumber
15085	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-05T00:00:00Z	5/3/2022 0:00:00	Marina	13.42		83.5	85	34.8	81.5	2							Day 1- Day 3	Both Water Bottles		""	""	""												011038_8/5/2022	011038_8/5/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	48.7	3.5	0.932950191570881		1
15095	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-08T00:00:00Z	5/3/2022 0:00:00	Marina	13.85		75.8	81.5	69.1	79	2							Day 3- Day 5	Methamphetamine drinking	20	mg_L	""	""												011038_8/8/2022	011038_8/8/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	6.69999999999999	2.5	0.728260869565217		2
15105	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-10T00:00:00Z	5/3/2022 0:00:00	Marina	14.14		82.2	79	76.6	75	2							Day 5- Day 7	Methamphetamine drinking	20	mg_L	""	""												011038_8/10/2022	011038_8/10/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	5.59999999999999	4	0.583333333333333		3
15115	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-14T00:00:00Z	5/3/2022 0:00:00	Marina	14.71		80.1	75	71.1	73.5	2							Day 7- Day 9	Methamphetamine drinking	40	mg_L	""	""												011038_8/14/2022	011038_8/14/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	9	1.5	0.857142857142857		4
15125	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-16T00:00:00Z	5/3/2022 0:00:00	Marina	15		71.1	73.5	66.5	67.5	2							Day 9 - Day 11	Methamphetamine drinking	40	mg_L	""	""												011038_8/16/2022	011038_8/16/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	4.60000000000001	6	0.433962264150944		5
15088	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-05T00:00:00Z	5/3/2022 0:00:00	Marina	13.42		85.3	82	85	72.1	2							Day 1- Day 3	Both Water Bottles		""	""	""												011039_8/5/2022	011039_8/5/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	0.299999999999997	9.89999999999999	0.0294117647058821		1
15098	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-08T00:00:00Z	5/3/2022 0:00:00	Marina	13.85		80.1	72.1	72.3	69.1	2							Day 3- Day 5	Methamphetamine drinking	20	mg_L	""	""												011039_8/8/2022	011039_8/8/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	7.80000000000001	3	0.722222222222223		2
15108	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-10T00:00:00Z	5/3/2022 0:00:00	Marina	14.14		84.4	85.8	72.5	84.8	2							Day 5- Day 7	Methamphetamine drinking	20	mg_L	""	""												011039_8/10/2022	011039_8/10/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	11.9	1	0.922480620155039		3
15118	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-14T00:00:00Z	5/3/2022 0:00:00	Marina	14.71		82.1	84.8	49.8	83.8	2							Do Not Use, Spill Happened Day 7- Day 9	Methamphetamine drinking	40	mg_L	""	""												011039_8/14/2022	011039_8/14/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	32.3	1	0.96996996996997		4
15128	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-16T00:00:00Z	5/3/2022 0:00:00	Marina	15		79.7	83.8	68.7	82.3	2							Day 9 - Day 11	Methamphetamine drinking	40	mg_L	""	""												011039_8/16/2022	011039_8/16/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	11	1.5	0.88		5
15089	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-05T00:00:00Z	5/3/2022 0:00:00	Marina	13.42		82.4	86.5	81.4	74.9	2							Day 1- Day 3	Both Water Bottles		""	""	""												011040_8/5/2022	011040_8/5/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	1	11.6	0.0793650793650794		1
15099	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-08T00:00:00Z	5/3/2022 0:00:00	Marina	13.85		78	74.9	75.6	65.1	2							Day 3- Day 5	Methamphetamine drinking	20	mg_L	""	""												011040_8/8/2022	011040_8/8/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	2.39999999999999	9.80000000000001	0.196721311475409		2
15109	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-10T00:00:00Z	5/3/2022 0:00:00	Marina	14.14		83.4	82.1	74.2	79.8	2							Day 5- Day 7	Methamphetamine drinking	20	mg_L	""	""												011040_8/10/2022	011040_8/10/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	9.2	2.30000000000001	0.799999999999999		3
15119	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-14T00:00:00Z	5/3/2022 0:00:00	Marina	14.71		82.1	79.8	79.6	70.3	2							Day 7- Day 9	Methamphetamine drinking	40	mg_L	""	""												011040_8/14/2022	011040_8/14/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	2.5	9.5	0.208333333333333		4
15129	Oral methamphetamine	SUC0003	011040	DBA/2J	M	2022-08-16T00:00:00Z	5/3/2022 0:00:00	Marina	15		79.6	82.4	70.3	80.7	2							Day 9 - Day 11	Methamphetamine drinking	40	mg_L	""	""												011040_8/16/2022	011040_8/16/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	9.30000000000001	1.7	0.845454545454545		5
15091	Oral methamphetamine	SUC0003	011041	DBA/2J	M	2022-08-05T00:00:00Z	5/3/2022 0:00:00	Marina	13.42		84	86.8	72.9	85.5	2							Day 1- Day 3	Both Water Bottles		""	""	""												011041_8/5/2022	011041_8/5/2022	yes	""	AX28	DBA2	DBA2J	""	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	11.1	1.3	0.895161290322581		1
