ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age.wks.	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	Drug	DrugDose	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg.kg.formula.check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	DrugMassConsumed	TestNumber
14214	Sucrose	SUC0005	010079	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-18T00:00:00Z	6/17/2022 0:00:00	Marina	8.85	21.6	84.6	82.5	0	72	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											0	010079_8/18/2022	010079_8/18/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	84.6	10.5	0.889589905362776	0	1
14218	Sucrose	SUC0005	010079	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-22T00:00:00Z	6/17/2022 0:00:00	Marina	9.42	21.8	85	72	70.4	70	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""											274495.42	010079_8/22/2022	010079_8/22/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	14.6	2	0.879518072289157	0.000669724770642202	2
14222	Sucrose	SUC0005	010079	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-24T00:00:00Z	6/17/2022 0:00:00	Marina	9.71	22.3	83.5	88.3	70.1	86.4	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""											262482.07	010079_8/24/2022	010079_8/24/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	13.4	1.89999999999999	0.875816993464053	0.000600896860986547	3
14216	Sucrose	SUC0005	010080	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-18T00:00:00Z	6/17/2022 0:00:00	Marina	8.85	25.1	87.6	85.3	80.9	78.3	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											282344.21	010080_8/18/2022	010080_8/18/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	6.69999999999999	7	0.489051094890511	0	1
14220	Sucrose	SUC0005	010080	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-22T00:00:00Z	6/17/2022 0:00:00	Marina	9.42	25.1	87	78.3	65.5	74.6	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""											227031.86	010080_8/22/2022	010080_8/22/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	21.5	3.7	0.853174603174603	0.000856573705179283	2
14224	Sucrose	SUC0005	010080	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-08-24T00:00:00Z	6/17/2022 0:00:00	Marina	9.71	24.6	87.6	74.6	71.5	71.7	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""											254609.74	010080_8/24/2022	010080_8/24/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	16.1	2.89999999999999	0.847368421052632	0.000654471544715447	3
14213	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-18T00:00:00Z	6/18/2022 0:00:00	Marina	8.71	24.6	83.5	83.2	76.9	77.4	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											261022.34	010200_8/18/2022	010200_8/18/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	6.59999999999999	5.8	0.532258064516129	0	1
14217	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-22T00:00:00Z	6/18/2022 0:00:00	Marina	9.28	23.7	83.8	77.4	75.9	76.4	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""											268372.16	010200_8/22/2022	010200_8/22/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	7.89999999999999	1	0.887640449438202	0.000333333333333333	2
14221	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-24T00:00:00Z	6/18/2022 0:00:00	Marina	9.57	24.4	84.4	76.4	76.3	75.2	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""											263922.96	010200_8/24/2022	010200_8/24/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	8.10000000000001	1.2	0.870967741935484	0.000331967213114754	3
14215	Sucrose	SUC0006	010202	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-18T00:00:00Z	6/18/2022 0:00:00	Marina	8.71	27.3	82.8	81.7	78.9	68.4	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											239301.12	010202_8/18/2022	010202_8/18/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	3.89999999999999	13.3	0.226744186046511	0	1
